date,portfolio_value
2023-05-12 00:00:00+00:00,63188.87000000003
2023-05-15 00:00:00+00:00,63129.590000000026
2023-05-16 00:00:00+00:00,62477.510000000024
2023-05-17 00:00:00+00:00,62388.590000000026
2023-05-18 00:00:00+00:00,62141.590000000026
2023-05-19 00:00:00+00:00,62092.190000000024
2023-05-22 00:00:00+00:00,60906.590000000026
2023-05-23 00:00:00+00:00,60738.63000000003
2023-05-24 00:00:00+00:00,60076.67000000002
2023-05-25 00:00:00+00:00,59661.710000000036
2023-05-26 00:00:00+00:00,59533.270000000026
2023-05-30 00:00:00+00:00,59068.910000000025
2023-05-31 00:00:00+00:00,59059.03000000003
2023-06-01 00:00:00+00:00,59236.87000000003
2023-06-02 00:00:00+00:00,60333.55000000003
2023-06-05 00:00:00+00:00,60106.31000000003
2023-06-06 00:00:00+00:00,59533.270000000026
2023-06-07 00:00:00+00:00,59454.230000000025
2023-06-08 00:00:00+00:00,59612.31000000003
2023-06-09 00:00:00+00:00,59760.510000000024
2023-06-12 00:00:00+00:00,59473.99000000002
2023-06-13 00:00:00+00:00,59730.87000000003
2023-06-14 00:00:00+00:00,60066.79000000002
2023-06-15 00:00:00+00:00,60461.99000000002
2023-06-16 00:00:00+00:00,60886.830000000016
2023-06-20 00:00:00+00:00,60610.190000000024
2023-06-21 00:00:00+00:00,60679.35000000003
2023-06-22 00:00:00+00:00,61114.07000000002
2023-06-23 00:00:00+00:00,60481.75000000003
2023-06-26 00:00:00+00:00,60422.47000000003
2023-06-27 00:00:00+00:00,60363.190000000024
2023-06-28 00:00:00+00:00,59869.190000000024
2023-06-29 00:00:00+00:00,59315.910000000025
2023-06-30 00:00:00+00:00,59434.47000000003
2023-07-03 00:00:00+00:00,59809.910000000025
2023-07-05 00:00:00+00:00,60214.99000000002
2023-07-06 00:00:00+00:00,59819.79000000002
2023-07-07 00:00:00+00:00,59128.190000000024
2023-07-10 00:00:00+00:00,58624.31000000003
2023-07-11 00:00:00+00:00,58821.910000000025
2023-07-12 00:00:00+00:00,59108.43000000002
2023-07-13 00:00:00+00:00,59681.47000000003
2023-07-14 00:00:00+00:00,60244.63000000003
2023-07-17 00:00:00+00:00,60165.590000000026
2023-07-18 00:00:00+00:00,59879.07000000002
2023-07-19 00:00:00+00:00,60886.830000000016
2023-07-20 00:00:00+00:00,61459.87000000003
2023-07-21 00:00:00+00:00,61657.47000000003
2023-07-24 00:00:00+00:00,61805.67000000002
2023-07-25 00:00:00+00:00,61845.190000000024
2023-07-26 00:00:00+00:00,62161.35000000003
2023-07-27 00:00:00+00:00,61687.11000000003
2023-07-28 00:00:00+00:00,61696.99000000002
2023-07-31 00:00:00+00:00,61163.47000000003
2023-08-01 00:00:00+00:00,60896.710000000036
2023-08-02 00:00:00+00:00,61380.830000000016
2023-08-03 00:00:00+00:00,60857.190000000024
2023-08-04 00:00:00+00:00,59987.75000000003
2023-08-07 00:00:00+00:00,60501.510000000024
2023-08-08 00:00:00+00:00,60185.35000000003
2023-08-09 00:00:00+00:00,60442.230000000025
2023-08-10 00:00:00+00:00,60214.99000000002
2023-08-11 00:00:00+00:00,60521.270000000026
2023-08-14 00:00:00+00:00,60274.270000000026
2023-08-15 00:00:00+00:00,59760.510000000024
2023-08-16 00:00:00+00:00,59661.710000000036
2023-08-17 00:00:00+00:00,59898.830000000016
2023-08-18 00:00:00+00:00,60155.710000000036
2023-08-21 00:00:00+00:00,59681.47000000003
2023-08-22 00:00:00+00:00,59345.55000000003
2023-08-23 00:00:00+00:00,59483.87000000003
2023-08-24 00:00:00+00:00,59483.87000000003
2023-08-25 00:00:00+00:00,59641.950000000026
2023-08-28 00:00:00+00:00,59819.79000000002
2023-08-29 00:00:00+00:00,59839.55000000003
2023-08-30 00:00:00+00:00,59750.63000000003
2023-08-31 00:00:00+00:00,59187.47000000003
2023-09-01 00:00:00+00:00,58604.55000000003
2023-09-05 00:00:00+00:00,58100.67000000002
2023-09-06 00:00:00+00:00,58061.15000000002
2023-09-07 00:00:00+00:00,57626.43000000002
2023-09-08 00:00:00+00:00,57557.270000000026
2023-09-11 00:00:00+00:00,58090.79000000002
2023-09-12 00:00:00+00:00,57586.910000000025
2023-09-13 00:00:00+00:00,57725.230000000025
